DATE,MODEL,IDENT,RTE,DURATION,NIGHT,XTY,SIC,PIC,REMARKS
5/20/2018,DC-9,N547,ORF-DFW,3.4,,3.4,3.4,,
5/20/2018,DC-9,N541,DFW-MKE,2.1,,2.1,2.1,,
5/22/2018,DC-9,N424,DFW-OKC,1.0,,1.0,1.0,,
5/22/2018,DC-9,N424,OKC-DFW,1.0,,1.0,1.0,,
5/28/2018,DC-9,N4YE,DFW-SAT,0.9,,0.9,0.9,,
5/28/2018,DC-9,N4YE,SAT-DFW,1.2,,1.2,1.2,,
5/28/2018,DC-9,N4XU,DFW-YYZ,2.9,,2.9,2.9,,
5/29/2018,DC-9,N4XR,YYZ-DFW,3.2,,3.2,3.2,,
5/29/2018,DC-9,N4XR,DFW-CVG,2.1,,2.1,2.1,,
5/30/2018,DC-9,N4YE,CVG-DFW,2.4,,2.4,2.4,,
5/30/2018,DC-9,N4XB,DFW-TUL,1.0,,1.0,1.0,,
5/30/2018,DC-9,N4XB,TUL-DFW,1.1,,1.1,1.1,,
6/2/2018,DC-9,N4XP,DFW-ELP,1.5,,1.5,1.5,,
6/2/2018,DC-9,N4XP,ELP-DFW,1.6,,1.6,1.6,,
6/2/2018,DC-9,N4YN,DFW-DSM,1.7,,1.7,1.7,,
6/3/2018,DC-9,N4XK,DSM-DFW,1.8,,1.8,1.8,,
6/3/2018,DC-9,N4YA,DFW-CVG,2.0,,2.0,2.0,,
6/4/2018,DC-9,N4XF,CVG-DFW,2.2,,2.2,2.2,,
6/5/2018,DC-9,N4XJ,OKC-DFW,1.4,,1.4,1.4,,
6/8/2018,DC-9,N4XM,DFW-MCI,1.5,,1.5,1.5,,
6/8/2018,DC-9,N4XM,MCI-DFW,1.6,,1.6,1.6,,
6/8/2018,DC-9,N4YD,DFW-MKE,2.1,,2.1,2.1,,
6/9/2018,DC-9,N4YR,MKE-DFW,2.4,,2.4,2.4,,
6/9/2018,DC-9,N555,DFW-ICT,1.4,,1.4,1.4,,
6/9/2018,DC-9,N555,ICT-DFW,1.3,,1.3,1.3,,
6/9/2018,DC-9,N4YT,DFW-IND,2.3,,2.3,2.3,,
6/10/2018,DC-9,N4XM,IND-DFW,2.2,,2.2,2.2,,
6/10/2018,DC-9,N4XP,DFW-CLE,2.7,,2.7,2.7,,
6/26/2018,DC-9,N4YD,DFW-IAH,0.9,,0.9,0.9,,
6/26/2018,DC-9,N4YD,IAH-DFW,1.1,,1.1,1.1,,
6/26/2018,DC-9,N4XB,DFW-DSM,1.8,,1.8,1.8,,
6/26/2018,DC-9,N4XB,DSM-DFW,1.8,,1.8,1.8,,
